question,golden_text,retrieved_chunks,precision,recall
What significant regulatory changes and proposals has President Biden's administration implemented or announced regarding fees and pricing transparency?,"My administration announced we’re cutting credit card late fees from $32 to $8. My administration has proposed rules to make cable, travel, utilities, and online ticket sellers tell you the total price up front so there are no surprises.","{'I want to cap the cost of insulin at $35 a month for every American who needs it — everyone.\n\nFor years, people have talked about it. But finally, we got it done and gave Medicare the power to negotia', 'r — a majority in the House and Senate would endorse the bill as well — a majority right now.\n\nAUDIENCE MEMBER: Yes!\n\nTHE PRESIDENT: But unfortunately, politics have derailed this bill so far.\n\nI’m to', 'est set of border security reforms we’ve ever seen.\n\nAUDIENCE: Booo —\n\nTHE PRESIDENT: Oh, you don’t think so?\n\nAUDIENCE: Booo —\n\nTHE PRESIDENT: Oh, you don’t like that bill — huh? — that conservatives', 'wer Snickers in it.\n\nLook, I’m also getting rid of junk fees — those hidden fees — at the end of your bill that are there without your knowledge. My administration announced we’re cutting credit card ', 't federally financing, which is already helping build a record 1.7 million new house u- — housing units nationwide.\n\nNow pass — now pass (my plan) and build and renovate 2 million affordable homes and'}",0.11627906976744186,0.4166666666666667
What reasons did President Biden give for the failure of a particular bill's passage?,"But unfortunately, politics have derailed this bill so far. I’m told my predecessor called members of Congress in the Senate to demand they block the bill. He feels political win — he viewed it as a — it would be a political win for me and a political loser for him.","{'an friends owe it to the American people. Get this bill done. We need to act now.\n\nAUDIENCE: Get it done! Get it done! Get it done!\n\nTHE PRESIDENT: And if my predecessor is watching: Instead of paying', 'r — a majority in the House and Senate would endorse the bill as well — a majority right now.\n\nAUDIENCE MEMBER: Yes!\n\nTHE PRESIDENT: But unfortunately, politics have derailed this bill so far.\n\nI’m to', ' administrations, including my predecessor — including some Democrats, as well, in the past — failed to buy American. Not anymore.\n\nOn my watch, federal projects that you fund — like helping build Ame', ' (playing) politics and pressuring members of Congress to block the bill, join me in telling the Congress to pass it.\n\nWe can do it together.\n\nBut that’s what he apparently — here’s what he will not d', 'ld my predecessor called members of Congress in the Senate to demand they block the bill. He feels political win — he viewed it as a — it would be a political win for me and a political loser for him.'}",0.36936936936936937,0.9761904761904762
How many people are no longer denied health insurance due to preexisting conditions according to President Biden?,Over 100 million of you can no longer be denied health insurance because of a preexisting condition.,"{' 100 million of you can no longer be denied health insurance because of a preexisting condition. But my predecessor and many in this chamber want to take the — that prescription drug away by repealing', ' hers. To my friends across the aisle — don’t keep this waiting any longer. Guarantee the right to IVF. Guarantee it nationwide.\n\nLike most Americans, I believe Roe v. Wade got it right.\n\nI thank Vice', 'n’t be the manufacturing capital of the world? We are and we will.\n\nMore people have health insurance today — more people have health insurance today than ever before.\n\nThe racial wealth gap is the sm', ' Affordable Care Act.\n\nAUDIENCE: Booo —\n\nTHE PRESIDENT: I’m not going to let that happen. We stopped you 50 times before, and we’ll stop you again.\n\nIn fact, I’m not only protecting it, I’m expanding ', 'heart disease to arthritis. It’s now time to go further and give Medicare the power to negotiate lower prices for 500 different drugs over the next decade.\n\nThey’re making a lot of money, guys. And th'}",0.11029411764705882,0.9375
"Which country is Putin invading, causing chaos in Europe and beyond?","Overseas, Putin of Russia is on the march, invading Ukraine and sowing chaos throughout Europe and beyond.","{'to a Russian leader. I think it’s outrageous, it’s dangerous, and it’s unacceptable.\n\nAmerica is a founding member of NATO, the military alliance of democratic nations created after World War Two prev', 's to Congress: We have to stand up to Putin. Send me a bipartisan national security bill. History is literally watching. History is watching.\n\nIf the United States walks away, it will put Ukraine at r', 'isk. Europe is at risk. The free world will be at risk, emboldening others to do what they wish to do us harm.\n\nMy message to President Putin, who I’ve known for a long time, is simple: We will not wa', 'aine, I assure you: He will not.\n\nBut Ukraine — Ukraine can stop Putin. Ukraine can stop Putin if we stand with Ukraine and provide the weapons that it needs to defend itself.\n\nThat is all — that is a', 'e and overseas at the very same time.\n\nOverseas, Putin of Russia is on the march, invading Ukraine and sowing chaos throughout Europe and beyond.\n\nIf anybody in this room thinks Putin will stop at Ukr'}",0.128,1.0
When did the murder rate experience the sharpest decrease in history and how did violent crime rates change?,"Last year, the murder rate saw the sharpest decrease in history. Violent crime fell to one of its lowest levels in more than 50 years.","{'e country was hit by the worst pandemic and the worst economic crisis in a century.\n\nRemember the fear, record losses?\n\nRemember the spikes in crime and the murder rate? A raging virus that took more ', 'll triple that number in a decade.\n\nTo state the obvious, all Americans deserve the freedom to be safe. And America is safer today than when I took office.\n\nThe year before I took office, murder rates', 'Second Amendment or vilifies responsible gun owners.\n\n(Cross-talk.)\n\nYou know, as we manage challenges at home, we’re also managing crises abroad, including in the Middle East.\n\nI know the last five m', 'estment in public safety ever.\n\nLast year, the murder rate saw the sharpest decrease in history. Violent crime fell to one of its lowest levels in more than 50 years.\n\nBut we have more to do. We have ', 'to help cities invest in more community police officers, more mental health workers, more community violence intervention.\n\nGive communities the tools to crack down on gun crime, retail crime, and car'}",0.1796875,1.0
What is the name of the new health research agency mentioned in President Biden's State of the Union Address that aims to do big things like ending cancer?,"And we owe it to ourselves to keep supporting our new health research agency called ARPA-H — and remind us — to remind us that we can do big things, like end cancer as we know it. And we will.","{'o state the obvious: Women are more than half of our population, but research on women’s health has always been underfunded.\n\nThat’s why we’re launching the first-ever White House Initiative on Women’', 'r Union is strong and getting stronger.\n\nAUDIENCE: Four more years! Four more years! Four more years!\n\nTHE PRESIDENT: Tonight — tonight, I want to talk about the future of possibilities that we can bu', ' families support.\n\nAnd we owe it to ourselves to keep supporting our new health research agency called ARPA-H — and remind us — to remind us that we can do big things, like end cancer as we know it. ', ' Affordable Care Act.\n\nAUDIENCE: Booo —\n\nTHE PRESIDENT: I’m not going to let that happen. We stopped you 50 times before, and we’ll stop you again.\n\nIn fact, I’m not only protecting it, I’m expanding ', 's Health Research, led by Jill — doing an incredible job as First Lady — to pa- — to pass my plan for $12 billion to transform women’s health research and benefit millions of lives all across America.'}",0.23255813953488372,0.967741935483871
"According to President Biden, what is the current status of China compared to the past decade?",China is down to the lowest point in over a decade.,"{'nce I’ve come to office, our GTB (GDP) is up, our trade deficit with China is down to the lowest point in over a decade.\n\nAnd we’re standing up against China’s unfair economic practices.\n\nWe’re standi', 'from it now.\n\nI’m optimistic. I really am. I’m optimistic, Nancy.\n\nAUDIENCE: Four more years! Four more years! Four more years!\n\nTHE PRESIDENT: My fellow Americans, the issue facing our nation isn’t h', 'ant competition with China, not conflict. And we’re in a stronger position to win the conflict (competition) of the 21st century against China than anyone else for that matter — than at any time as we', 'r-in-Chief, I will not hesitate to direct further measures to protect our people and our military personnel.\n\nFor years, I’ve heard many of my Republican and Democratic friends say that China is on th', 'he most advanced American technologies can’t be used in China — not allowing to trade them there.\n\nFrankly, for all his tough talk on China, it never occurred to my predecessor to do any of that.\n\nI w'}",0.0873015873015873,1.0
What type of investment is being made by private companies in America according to President Biden's address?,"Well, instead of having to import them, instead of — private companies are now investing billions of dollars to build new chip factories here in America creating tens of thousands of jobs, many of those jobs paying $100,000 a year and don’t require a college degree.","{' America creating tens of thousands of jobs, many of those jobs paying $100,000 a year and don’t require a college degree.\n\nIn fact, my policies have attracted $650 billion in private-sector investmen', ' administrations, including my predecessor — including some Democrats, as well, in the past — failed to buy American. Not anymore.\n\nOn my watch, federal projects that you fund — like helping build Ame', 's and blue states.\n\nRecord investments in Tribal communities.\n\nBecause of my investment in family farms — because I invested in family farms — led by my Secretary of Agriculture, who knows more about ', 't 21 percent so every big corporation finally begins to pay their fair share.\n\nI also want to end tax breaks for Big Pharma, Big Oil, private jets, massive executive pay when it was only supposed to b', 'o pay their share. Remember in 2020, 55 of the biggest companies in America made $40 billion and paid zero in federal income tax. Zero.\n\nAUDIENCE: Booo —\n\nTHE PRESIDENT: Not anymore.\n\nThanks to the la'}",0.18604651162790697,0.631578947368421
"At what age did President Biden get elected to the United States Senate, and was it planned?","I got elected to the United States Senate when I had no intention of running, at age 29.","{'Good evening. Good evening. If I were smart, I’d go home now.\n\nMr. Speaker, Madam Vice President, members of Congress, my fellow Americans.\n\nIn January 1941, Franklin Roosevelt came to this chamber to', 'fter Dr. King was assassinated because of the riots. And I became a county councilman almost by accident.\n\nI got elected to the United States Senate when I had no intention of running, at age 29.\n\nThe', 'there are no surprises.\n\nIt matters. It matters.\n\nAnd so does this. In November, my team began serious negotiations with a bipartisan group of senators. The result was a bipartisan bill with the tough', 'n vice president to our first Black president. Now a president to the first woman vice president.\n\nIn my career, I’ve been told I was too young. By the way, they didn’t let me on the Senate elevators ', 'in history.\n\nMR. NIKOUI: (Inaudible.)\n\nTHE PRESIDENT: It was then, through no — through my American Rescue Plan — which every American (Republican) voted against, I might add — we made the largest inv'}",0.13385826771653545,1.0
What does President Biden refuse to do regarding the events of January 6th?,My predecessor and some of you here seek to bury the truth about January 6th. I will not do that.,"{'had come to stop the peaceful transfer of power, to overturn the will of the people.\n\nJanuary 6th lies about the 2020 election and the plots to steal the election posed a great — gravest threat to U.S', ' speak to the nation. And he said, “I address you at a moment unprecedented in the history of the Union”. Hitler was on the march. War was raging in Europe.\n\nPresident Roosevelt’s purpose was to wake ', ' was overturned, and he brags about it. Look at the chaos that has resulted.\n\nJoining us tonight is Kate Cox, a wife and mother from Dallas. She’d become pregnant again and had a fetus with a fatal co', ' and some of you here seek to bury the truth about January 6th. I will not do that.\n\nThis is a moment to speak the truth and to bury the lies. Here’s the simple truth: You can’t love your country only', ' (playing) politics and pressuring members of Congress to block the bill, join me in telling the Congress to pass it.\n\nWe can do it together.\n\nBut that’s what he apparently — here’s what he will not d'}",0.1487603305785124,0.9
